2022-01-26 11:17:11.583 [XNIO-1 task-1] INFO  traceId[99421c6f-1e4b-4f3e-9bba-efb68ca08e06] com.example.demo.controller.TopicManageController:34 - 提交题目信息：{"createBy":"0","img":"","optionItem":[{"correct":false,"option":"定义范围","serialNumber":1},{"correct":false,"option":"控制质量","serialNumber":2},{"correct":true,"option":"确认范围","serialNumber":3},{"correct":false,"option":"非上述选项","serialNumber":4}],"queSetId":1,"remark":"5.5.2.3 确认范围过程的工具是检查。检查有时也被称为审查、产品审查、审计和巡检等。","topicDesc":"你的项目涉及为运输业制造高精度引擎部件。为确定可交付成果是否符合产品验收标准，你必须进行几次审查、产品审查、审计和巡视。这些活动在哪个过程中展开？","topicType":1,"updateB":"0"}
2022-01-26 11:17:11.651 [XNIO-1 task-1] INFO  traceId[99421c6f-1e4b-4f3e-9bba-efb68ca08e06] com.example.demo.Interceptor.LogInterceptor:45 - 调用结束后删除...
2022-01-26 11:19:50.728 [XNIO-1 task-1] INFO  traceId[90517c80-e3fb-483e-ae73-3cd0b970dfe1] com.example.demo.controller.TopicManageController:34 - 提交题目信息：{"createBy":"0","img":"","optionItem":[{"correct":true,"option":"记录新的风险，并继续规划风险应对过程","serialNumber":1},{"correct":false,"option":"确保项目工作更好的理解","serialNumber":2},{"correct":false,"option":"花更多的时间来明确的界定风险应对措施","serialNumber":3},{"correct":false,"option":"获取更多的人参与识别风险的过程，因为风险已经错过了","serialNumber":4}],"queSetId":1,"remark":"应对措施引发另一个风险，就应该识别并记录新风险。原来在进行的规划风险应对过程要继续。","topicDesc":"项目经理创建风险应对计划。然而每一次建议一个风险应对措施，这个应对措施引发另一个风险。下列哪项是项目经理做的最好的事情？","topicType":1,"updateB":"0"}
2022-01-26 11:19:50.752 [XNIO-1 task-1] INFO  traceId[90517c80-e3fb-483e-ae73-3cd0b970dfe1] com.example.demo.Interceptor.LogInterceptor:45 - 调用结束后删除...
2022-01-26 11:22:11.235 [XNIO-1 task-1] INFO  traceId[459c3563-ee54-44a0-8006-b43f9f9e9d61] com.example.demo.controller.TopicManageController:34 - 提交题目信息：{"createBy":"0","img":"","optionItem":[{"correct":false,"option":"完工预算","serialNumber":1},{"correct":false,"option":"挣值","serialNumber":2},{"correct":true,"option":"实际成本","serialNumber":3},{"correct":false,"option":"计划价值","serialNumber":4}],"queSetId":1,"remark":"风险对项目的影响可以量化为实际成本来衡量，比如一个风险可能造成 100万的损失，这个 100 万就是如果风险发生造成的实际成本上升，可以用这个数字来说明风险的影响力。","topicDesc":"在项目执行期间，应该用什么技术来数字量化确定风险对总体项目目标的影响？","topicType":1,"updateB":"0"}
2022-01-26 11:22:11.258 [XNIO-1 task-1] INFO  traceId[459c3563-ee54-44a0-8006-b43f9f9e9d61] com.example.demo.Interceptor.LogInterceptor:45 - 调用结束后删除...
2022-01-26 11:24:32.295 [XNIO-1 task-1] INFO  traceId[7d2dcda5-6ae2-409b-8a94-cb8ca118df45] com.example.demo.controller.TopicManageController:34 - 提交题目信息：{"createBy":"0","img":"","optionItem":[{"correct":false,"option":"沟通管理计划","serialNumber":1},{"correct":true,"option":"沟通技术","serialNumber":2},{"correct":false,"option":"专家判断","serialNumber":3},{"correct":false,"option":"信息收集和检索系统","serialNumber":4}],"queSetId":1,"remark":"要确定相关方的信息需求，需要使用到沟通技术。","topicDesc":"项目经理目前正在处于项目规划阶段，努力确定项目相关方的信息需求。项目经理将使用下列哪一项工具或技术？","topicType":1,"updateB":"0"}
2022-01-26 11:24:32.316 [XNIO-1 task-1] INFO  traceId[7d2dcda5-6ae2-409b-8a94-cb8ca118df45] com.example.demo.Interceptor.LogInterceptor:45 - 调用结束后删除...
2022-01-26 11:25:40.775 [XNIO-1 task-1] INFO  traceId[4df22a66-fc60-4f92-8456-9a80c5bd777a] com.example.demo.controller.TopicManageController:34 - 提交题目信息：{"createBy":"0","img":"","optionItem":[{"correct":false,"option":"一个产品","serialNumber":1},{"correct":false,"option":"服务能力","serialNumber":2},{"correct":true,"option":"工作绩效数据","serialNumber":3},{"correct":false,"option":"项目管理计划","serialNumber":4}],"queSetId":1,"remark":"工作绩效数据。在执行项目工作的过程中，从每个正在执行的活动中收集到的原始观察结果和测量值。是项目管理过程中的琐碎信息，不是可交付成果。","topicDesc":"以下都是可交付成果，除了：","topicType":1,"updateB":"0"}
2022-01-26 11:25:40.805 [XNIO-1 task-1] INFO  traceId[4df22a66-fc60-4f92-8456-9a80c5bd777a] com.example.demo.Interceptor.LogInterceptor:45 - 调用结束后删除...
2022-01-26 11:27:38.287 [XNIO-1 task-1] INFO  traceId[6886c89a-f19e-486c-8cc4-18a8865acbf3] com.example.demo.controller.TopicManageController:34 - 提交题目信息：{"createBy":"0","img":"","optionItem":[{"correct":false,"option":"潜示权力","serialNumber":1},{"correct":true,"option":"专家权力","serialNumber":2},{"correct":false,"option":"惩罚权力","serialNumber":3},{"correct":false,"option":"正式权力","serialNumber":4}],"queSetId":1,"remark":"因为没有正式权力，故谈不上惩罚权力。潜示权力即参照权力：基于项目经理提及别的职位较高的权力。在此环境下也难其左右。专家权力：作为技术或项目管理方面的专家而产生的权力。通过专家权力展现个人魅力，吸引大家跟随。","topicDesc":"你是一名项目经理，在弱矩阵环境中负责一交叉职能的项目。没有团队成员向你汇报，你也不能奖励他们。项目很难，包括时间很紧，质量标准也很有挑战性。这时，下列哪种项目管理权力可能最为有效？","topicType":1,"updateB":"0"}
